Filename,Movement Detected,Animal Detected
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0136.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0137.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0138.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0139.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0140.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0141.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0142.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0143.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0144.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0145.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0146.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0147.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0148.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0149.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0150.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0151.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0152.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0153.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0154.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0155.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0156.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0157.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0158.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0159.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0160.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0161.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0162.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0163.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0164.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0165.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0166.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0167.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0168.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0169.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0170.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0171.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0172.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0173.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0174.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0175.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0176.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0177.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0178.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0179.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0180.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0181.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0182.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0183.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0184.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0185.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0186.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0187.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0188.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0189.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0190.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0191.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0192.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0193.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0194.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0195.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0196.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0197.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0198.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0199.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0200.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0201.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0202.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0203.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0204.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0205.AVI,False,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0206.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0207.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0208.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0209.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0210.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0211.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0212.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0213.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0214.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0215.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0216.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0217.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0218.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0219.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0220.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0221.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0222.AVI,True,True
