Filename,Movement Detected
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0162.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0163.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0164.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0165.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0166.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0167.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0168.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0169.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0170.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0171.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0172.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0173.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0174.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0175.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0176.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0177.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0178.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0179.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0180.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0181.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0182.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0183.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0184.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0185.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0186.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0187.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0188.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0189.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0190.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0191.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0192.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0193.AVI,True
